state_label,state_voltage,image_frames,vapor_area_fraction_mean,vapor_area_fraction_std,active_length_fraction_mean,vapor_front_x_px_mean,thermal_rows,time_start_s,time_end_s,voltage_mean_v,power_mean_w,heat_flux_mean_w_cm2,inlet_subcooling_mean_c,pressure_drop_mean_kpa,htc_mean_w_m2k,quality_x7_mean,ae_hits,ae_hit_rate_hz,ae_abs_energy_rate,ae_amp_mean_db,ae_ch1_hit_rate_hz,ae_ch2_hit_rate_hz
25,25.0,6,0.0717099144345238,0.016111500550634865,0.2796223958333333,1021.1666666666666,100,439.0,448.9,24.940135,21.613156090000004,7.543859019197209,24.19162910470076,1.6991924718759999,3159.3973141098973,-0.2774540362056991,16,1.61616161616162,3.9746060606060696,38.449999999999996,1.2121212121212148,0.404040404040405
27.5,27.5,6,0.04305943080357142,0.013842848218161086,0.2734375,1016.5,140,535.0,548.9,27.438242385714286,26.12359090714286,9.11818181750187,24.39169863819981,1.6869701780885729,3542.3134988188726,-0.2707362988360512,343,24.676258992805796,257.32724208633135,38.56413994169096,18.920863309352548,5.755395683453247
30,30.0,6,0.04019717261904762,0.004241398772415664,0.30029296875,1015.3333333333334,330,587.0,619.9,29.93737705151515,31.063745684848485,10.84249413083717,24.563280116898138,1.6914042103987879,3962.9531584765373,-0.2624396832193107,1261,38.328267477203674,654.8217042249245,38.83330689928628,26.717325227963546,11.61094224924013
35,35.0,6,0.04820731026785715,0.00431202893306169,0.3670247395833333,1012.3333333333334,192,676.0,1201.9,34.940055541666666,42.20828230729166,14.732384749490985,24.807385692399794,1.698870778101561,4848.148499406548,-0.2416202594154575,571194,1086.126640045636,94495.61084870127,40.066138474843946,546.0905115040881,540.0361285415478
37.5,37.5,6,0.05373883928571429,0.0057616680806748186,0.3976236979166667,1019.0,110,769.0,779.9,37.449040454545454,48.44306156363636,16.908572971600826,25.124176873792983,1.7889260647254543,5328.840877410196,-0.23033061931050508,3991,366.14678899082645,4198.037955688083,38.75602605863192,141.28440366972507,224.86238532110139
40,40.0,6,0.0700776599702381,0.005647196094307539,0.4384765625,1016.8333333333334,70,846.0,852.9,39.95498897142857,55.08806204285714,19.227944866616806,25.60742743249571,1.872007181817143,5797.724673047554,-0.21621876556816066,4268,618.5507246376832,10057.328928260902,38.946344892221184,263.623188405798,354.92753623188526
42.5,42.5,6,0.08557710193452382,0.009331007174526595,0.4944661458333333,1014.5,70,908.0,914.9,42.46497468571428,62.17432465714284,21.70133495886313,25.64680033879016,1.893413452394285,6352.755193646445,-0.19877292418273068,6134,888.9855072463797,18771.841183478322,39.095940658624066,391.15942028985637,497.8260869565234
45,45.0,6,0.11908947172619049,0.023458351738050075,0.5284830729166666,1014.1666666666666,122,968.0,1196.9,44.98591622131148,69.71991313934426,24.335048216176016,25.468022758312276,1.8588015126311477,6896.6249168962195,-0.1788077554064125,372574,1627.6714722586275,196513.18515964606,40.581024172379195,876.8326780253383,750.8387942332894
47.5,47.5,6,0.22658807663690475,0.030147772190917497,0.6661783854166666,1010.0,140,1027.0,1040.9,47.48678115714286,77.61558629999999,27.090955078534034,25.368749344664085,1.8170657799099992,7456.263468192543,-0.15959712920910768,24285,1747.1223021582618,103923.05397143817,40.0044101297097,909.9999999999941,837.1223021582679
49,49.0,6,0.2649181547619048,0.011994223374200584,0.69775390625,1013.5,130,1067.0,1079.9,48.994987723076925,82.59045136923078,28.82738267686938,25.313144425252975,1.7641589812430778,7706.747627642718,-0.14810317602233541,23644,1832.8682170542506,148529.08449682064,40.36414312299104,989.922480620148,842.9457364341026
50,50.0,6,0.30799386160714287,0.02155052360181434,0.75341796875,1013.8333333333334,80,1114.0,1121.9,50.00599255,86.000772175,30.017721527050618,25.222811547718653,1.7200461470224997,7818.678760647689,-0.1381757214983205,13888,1757.9746835442836,232085.01728594673,41.04525489631337,979.6202531645457,778.3544303797379
52CHF,52.0,6,0.3479771205357143,0.019860529486325395,0.80517578125,1020.0,108,1189.0,1201.8,51.9890221111111,92.88609470370372,32.42097546377094,24.885172816132037,1.8404099956175928,5712.612683503728,-0.11894844777364809,18193,1421.328125000005,176802.21053093811,40.466926839993405,844.765625000003,576.562500000002
